name,lat,lon
Casa de nacimiento de San Martin de Porres,-12.0433918,-77.0359022
Hostal Granda,-12.046617,-77.0351444
Hotel Inka Path,-12.0485279,-77.0332231
Casa Museo Almirante Miguel Grau,-12.0475554,-77.0333298
Hostal Plaza Mayor,-12.0475849,-77.0311051
Hotel Maury,-12.0476662,-77.0309602
Imperium Hotel Lima,-12.0556968,-77.0322713
Hotel Paris Lima*,-12.0498342,-77.0382736
Sky Hotel,-12.0754694,-77.0824457
Hostal Amarillis,-12.0739553,-77.0834014
Casa Hualpa,-12.1171174,-77.0346434
Boquerón,-12.4820527,-76.8013351
Paseos en bote,-12.4808201,-76.7980004
House Inn Backpacker,-12.1157418,-77.0337469
Hostal Residencial Casa peru,-12.0666347,-77.0462291
Hostal El Triunfo,-12.06803,-77.0464759
Sumaq,-12.0719841,-77.0390403
Flamante Hotel and Suit,-12.0720143,-77.0388181
Hostal Santa Beatriz,-12.0706308,-77.0381731
Hospedaje Sagitario,-12.0669153,-77.0354559
Flamingo,-12.0686439,-77.0378548
El Estadio,-12.0666111,-77.0351922
Hostal Las Camelias,-12.0739028,-77.0341748
Lucero house,-12.0441056,-76.9132773
Atelier Hotel Boutique,-12.1313209,-77.0282129
Monumento al Niño héroe,-12.0690234,-77.043581
The Llama Brothers,-12.1202683,-77.0379916
Hotel Cholcana,-12.1222617,-77.0330636
Llaqta Wasi,-12.1292465,-77.0325787
Inka Hostel,-12.1295623,-77.0299378
K'usillu's hostel backpackers,-12.1235995,-77.0291233
Miraflores Lodge,-12.1257182,-77.0306939
Hostel Rivendell,-12.1296226,-77.031278
Pía's house,-11.9421477,-77.0747693
The Point,-12.1472204,-77.0233589
Dragonfly Hostel Barranco,-12.1422776,-77.0238814
3B Hostal,-12.1410767,-77.0227003
Hostal Turístico Eiffel,-12.130238,-77.0291706
Tambo,-12.1307516,-77.0264473
Casa Wayra B&B Miraflores,-12.129625,-77.025519
Casa Bianca,-12.0654621,-77.0730239
Hotel Beatrrici,-12.0658664,-77.073574
Casa Ventura Aguirre,-11.7621078,-77.1672251
Luisfer Surf Camp,-12.3375493,-76.8200465
Posada Akutiki,-12.3365536,-76.8199124
Punta Hermosa Surf Hostel,-12.3385031,-76.8251266
Hostal Merlin Punta Hermosa,-12.3373082,-76.8255182
Hotel La Planicie de Pico Alto,-12.3332415,-76.8298956
Hostal La Pradera,-12.0413321,-77.0295337
Gold Hostal,-12.0413335,-77.0293544
Hotel Peach Garden,-12.0423446,-77.0295908
Laberinto del Ensueño,-12.0709939,-77.034838
Akira Kato,-12.0951002,-77.0546186
Pucllana,-12.1114927,-77.0312132
Marqay Friends Hostel,-12.1104699,-77.0309235
Hospedaje Atahualpa,-12.0532496,-77.0325308
Hostal Brasil,-12.0643139,-77.0446343
Hostal Luchos II,-12.058886,-77.0406229
Hostal Inkari,-12.06777,-77.0525831
Villareynal Hotel,-12.1266779,-77.0297908
Casa de Bruno,-12.0760231,-77.0661507
Happy Up,-12.0932316,-77.0009751
hostal iquique,-12.0579213,-77.0432523
Casa Quinta de los Libertadores,-12.0774326,-77.0619203
L'anfiteatro de Antica,-12.1469503,-77.0227141
Almirante Miguel Grau Seminario,-12.0597776,-77.0357536
Hostal Chaviña,-11.799808,-77.1406362
Heroes del 41,-12.0936498,-76.9513245
Miguel Grau,-12.0923868,-76.9518605
Hostal3,-11.8637901,-77.0761076
Friends House 2,-12.1281231,-77.0308957
Apolo Hotel,-12.1023181,-77.0193103
Vermell,-11.8715533,-77.0713994
Friend's House,-12.1271505,-77.0315703
Hostal Puno,-12.053101,-77.0289136
Alliance Française,-12.0608031,-77.0380582
Museo del Pisco,-12.0457696,-77.0295683
Wiracocha Hostel,-12.0462256,-77.0291979
Hostal Kendall,-12.0785627,-77.0654496
Galería La Fortaleza,-11.8777706,-77.0174
Teatro Republica,-12.054437,-77.0355252
José Gabriel Condorcanqui,-12.0596174,-77.0369739
Juana Alarco de Dammert,-12.0585156,-77.037589
Víctor Larco Herrera,-12.0590494,-77.0377472
Zig Zag Hostel,-12.1107959,-77.0320606
CREALIMA,-12.057596,-76.9937383
Alameda Malecón Rímac,-12.0344388,-77.0741569
Roque Sáenz Peña,-12.0927778,-77.0369501
Centro de la Imagen,-12.1282081,-77.0256266
Teatro La Cabaña,-12.0619422,-77.0354786
Hipólito Unanue,-12.0537643,-77.0318884
Hostal Los Fortales,-12.2951999,-76.8523832
Los Cabitos,-12.1288434,-77.0011365
Hostal Paraiso,-12.0471839,-77.0182881
Hostal Escape,-11.9439124,-76.9816919
Hospedaje Palerno,-12.0307389,-77.0109363
Copacabana HS,-12.0307852,-77.0109903
Camino Hostal,-12.0305803,-77.0109454
Pedalones,-12.0678924,-77.0894291
Prince Hostal,-12.0237704,-76.9862682
Hotel puente piedra,-11.886859,-77.0661668
HS Bartra,-12.1950806,-76.9832475
Hospedaje Grau,-12.057282,-77.0178432
dormitorio,-12.0156883,-77.055125
Hostal Vesos,-12.0036254,-77.0023954
Hospedaje Cochera,-12.046339,-76.9817092
Juan Pablo II,-12.0886648,-77.0348434
Malecón de Río,-12.0438672,-77.0267863
Hostal Monarca,-12.0618682,-77.0204529
Randa,-12.0595928,-77.0267072
Hospedaje Bella Dulcemente,-12.0068651,-77.0083512
Roble,-12.0823795,-76.896973
Velasco Astete,-12.1195105,-76.9843471
Hostel Amira,-12.0774146,-77.0139285
Hostal Cochera,-12.0517505,-77.0092897
Hostal Ocros,-12.0517513,-77.0092401
Hostal El Caribe,-12.0596191,-77.007359
Pedro Paulet,-12.1341804,-77.0286101
Street Art: Lying Man,-12.1253102,-77.0291965
Intihuatana,-12.1281742,-77.0356957
Don Francisco Bolognesi Cervantes,-12.1069147,-76.9682945
Casa Serena,-12.1217418,-77.0242244
SJM,-12.1501052,-76.9821716
Hostel el Eden,-12.0078871,-76.8239476
Coney Local,-11.9953939,-77.061095
Coney Park,-11.9934751,-77.0615385
Monumento a César Vallejo,-12.0469773,-77.034206
Plazuela de las Artes,-12.0455626,-77.0349849
Toromata,-12.0161662,-76.8748088
Hospedaje Lima,-12.0452856,-77.0292772
huaca,-12.0803592,-77.0208892
Zona Arqueológica Monumental PACHACAMAC,-12.2536914,-76.9048187
Aeropuerto de Limatambo,-12.0980756,-77.0155822
Capitán FAP José Abelardo Quiñones,-12.0986917,-77.0124078
San Juan Bosco,-12.1624165,-77.0236568
José Olaya Balandra,-12.1673796,-77.0289851
Antonio Sucre,-12.0723122,-77.0343388
Luis Negreiros Vega,-12.0638572,-77.0361933
General Tomás Herrera,-12.0609378,-77.0361165
Feria comercial La Perrocholi,-12.0423545,-77.0302962
Park Hotel Lima,-12.1332804,-76.9833943
Galería Bueno Bonito y Barato,-12.0438746,-77.0437816
Civa Hostal,-12.0581131,-77.0313788
Sakura,-12.0578619,-77.0293381
Andahuaylas,-12.0561599,-77.0266327
Libertador Simón Bolívar,-12.0476528,-77.0260463
Hostel Genesis,-12.0824304,-77.0799462
José Faustino Sánchez Carrión,-12.048276,-77.0247942
Congreso de la República,-12.0482012,-77.0254151
Mariscal Ramón Castilla,-12.0481106,-77.0328705
Federico Elguera,-12.0508457,-77.0384726
Casa de nacimiento de Antonio Alarco,-12.0437109,-77.0351083
Juan Velasco Alvarado,-12.206818,-76.9373439
César Vallejo,-12.2120471,-76.934378
María Elena Moyano,-12.2222385,-76.9343815
Galería Límac,-12.0638423,-77.0372296
Galería Ignacio Merino,-12.0637883,-77.0367307
Edilberto Ramos,-12.2429755,-76.9258653
Mercado de Ciudad y Campo,-12.0253469,-77.0282587
CREA Lima,-12.0152123,-77.0301997
Museo comunitario Ruricancho,-12.0098646,-77.0023014
Casa Fernandini,-12.0450471,-77.0351457
Sonesta El Olivar,-12.0978583,-77.0352953
Asilo de Ancianos Ignacia Rodulfo Vda. de Canevaro,-12.0385433,-77.025091
Mercado cooperativo 1 de Julio,-12.0500101,-77.0111092
Museo Prehispánico Hernán Amat de Olazábal,-12.2159827,-76.9302889
Flying Dog Hostel 2,-12.1220251,-77.0299105
Mariscal Juan Bautista Elespuru y Montes de Roca,-12.2331009,-76.9180177
Hotel América,-12.061642,-77.0461567
Huaca San Miguel,-12.062453,-77.081518
Huaca La Luz I,-12.0672655,-77.07197
Huaca Potosi,-12.0645147,-77.0816954
Huaca La Luz II,-12.066828,-77.0722083
Prolima,-11.9288804,-77.0746187
Huaca Palao,-12.0277404,-77.0619164
Tupac Lima Airport Hostel,-12.0067322,-77.0739798
Puente Manchay,-12.1454544,-76.8326263
Castillo Rospigliosi,-12.0785218,-77.0330189
Chaski Lodge,-12.1257132,-77.0299268
Puente Panquilma,-12.0945612,-76.776491
La Cruz de Tambo Viejo,-12.1115468,-76.8187528
Hospedaje San Marcos,-12.0620999,-77.0838523
Teatro Principal Manuel A. Segura,-12.0471158,-77.0344733
Monumento a la Democracia,-12.0521327,-77.0331481
La Libertad,-12.053222,-77.0378249
Auditorio de Ciencias e Ingenieria,-12.0725008,-77.079494
Sala uno,-12.0720036,-77.0802344
Auditorio de Fisica,-12.0716672,-77.0803408
Auditorio de Ciencias Sociales,-12.0708338,-77.0800896
Anfiteatro Armando Zolezzi,-12.0698725,-77.0805657
Anfiteatro Monseñor Juan Dammert Bellido,-12.0698731,-77.0805812
Auditorio de Humanidades,-12.0683013,-77.080111
Auditorio de Estudios Generales Letras,-12.067702,-77.0806019
José Carlos Mariátegui,-12.1574267,-76.9567385
Horacio Zeballos Gámez,-12.1612707,-76.9795457
Hotel Presidente,-12.0463393,-77.0312412
Museo Oro del Perú,-12.1085037,-76.9662426
Hospedaje El Encuentro,-12.1867438,-76.9794045
Tercer Milenio,-12.0667707,-77.0184195
Queirolo,-12.0513982,-77.036626
Monumento a los héroes caídos en la guerra del Cenepa,-12.0972025,-76.9828616
Luis Alberto Sánchez,-12.0533194,-77.0313911
La Colmena,-12.0529911,-77.0323368
Antenas de Televisión (Morro Solar),-12.1820967,-77.0254116
Emilio Agustin del Solar y Mendiburu,-11.9366067,-76.6969101
Vírgen del Rosario,-12.070677,-77.0405342
Pez,-12.1726649,-76.9483698
Hotel Palace,-12.0788901,-77.036172
Convent of San Fransisco,-12.0454782,-77.0271727
Royal Garden,-12.0814913,-77.0343123
Masión Eiffel,-12.0475785,-77.0313992
Cristo Blanco,-11.9350632,-76.698439
La casona,-12.048705,-77.0360821
Guillermo Gastañeta Espinoza,-12.0519633,-77.0273979
Edelmira,-12.0337412,-77.0666278
Palacio Torre Tagle,-12.0485964,-77.0294264
Casa-Museo Raul Porras Berrenechea,-12.0484678,-77.0296624
La Plaza,-12.1316676,-77.0309293
Sala de Arte Moderno de Larcomar,-12.1321888,-77.0301632
Casa de Crl Chavez,-12.0920449,-76.9934081
Auditorio Ciencia,-12.0709443,-77.0796488
Casino de la guardia civil,-12.0551534,-77.0385325
Mama Backpackers Hostel,-11.9956875,-77.0804578
Miraflores Suites in Lima - Peru,-12.1183946,-77.0287648
Centro Cultural Brasil Perú,-12.1160905,-77.0303567
Liseth,-12.1712103,-76.9542797
Puente Quebrada Verde,-12.2115056,-76.8707666
La Piedra del Amor,-12.1862765,-76.8571531
Mirador Turístico Lurin,-12.2457978,-76.8940904
Britania,-12.1003073,-77.0001944
AB Diseño & Comunicación,-12.0226957,-76.8988782
Club Granja Azul,-12.0324791,-76.887106
Galería de artes visuales Ccoriwasi,-12.117557,-77.0296217
moscow,-11.9536271,-76.9818535
Dios Neptuno,-12.0590229,-77.0371312
Mendizábal,-11.9430431,-76.713628
Puente Tingo María,-12.0557097,-77.0576235
Backpacker's Family Club,-12.1202588,-77.0411451
Ruinas de San Juan de Pariachi,-12.0153046,-76.8677299
Teatro Larco,-12.1281199,-77.0299612
Centro de Convenciones del CMP,-12.1283902,-77.0263025
Centro de convenciones Casa Prado,-12.1291871,-77.0248127
Galería Forum,-12.1292223,-77.0300451
Galería de Arte Moll,-12.1290941,-77.0299446
Club de Teatro de Lima,-12.1255295,-77.0324277
Hotel B,-12.1431038,-77.0232806
El Palacete Souza,-12.145182,-77.0208531
Casa del mochilero,-12.1183934,-77.0399755
jeb,-12.1163415,-76.9820067
Ekeko,-12.1094315,-77.0319672
Sa. Paula,-12.1102594,-77.0459209
San Pedro de Pacora,-12.1627666,-76.9523068
Hostal Vladis II,-12.0547774,-77.044331
Liz's House,-12.1516711,-77.0205102
Elisa Rodriguez Parra,-12.0595658,-77.037502
Inca Garcilaso de la Vega,-12.0596301,-77.0371873
Bioferia de Miraflores,-12.1270753,-77.0222797
TAC,-12.1256775,-77.0182785
Miraflores posadas,-12.1282615,-77.0311865
Aventura,-11.9042701,-77.0579881
Gsh,-12.1690639,-76.9988847
Andrés Avelino Cáceres,-11.7737895,-77.1763994
Antonia de Cáceres,-11.7738184,-77.1764396
Ricardo Palma,-11.7737146,-77.1763511
Arguedas,-11.7736569,-77.1763042
Hospedaje Mio Amore,-11.9979591,-77.1005373
Familia Dios Gamarra,-12.0902636,-77.0476731
